ID,FHL_DICT_Numeric,FHL_DICT_Unicode,Hanzi,Tai-gi,Hakfa-exp,Hua-gi,Eng-gi
129,hap8-ki5-la5-san5,ha̍p-kî-lâ-sân,哈基拉山,,,,
130,hap8-ki5-la5,ha̍p-kî-lâ,哈基拉,,,,
131,hap8-ki5-nga5,ha̍p-kî-ngâ,哈基雅,,,,
132,hap8-ki5-to5-lim3,ha̍p-kî-tô-lìm,哈基多琳,,,,
133,hap8-ki5,ha̍p-kî,哈基,,,,
134,hap8-ko5-sii5,ha̍p-kô-sṳ̂,哈歌斯,,,,
135,hap8-ko5-sii5,ha̍p-kô-sṳ̂,哈哥斯,,,,
136,hap8-lap8-sang3,ha̍p-la̍p-sàng,哈臘城,,,,
137,hap8-lap8,ha̍p-la̍p,哈臘,,,,
138,hap8-let8,ha̍p-le̍t,哈勒,,,,
139,hap8-lit8-fut-ngin3,ha̍p-li̍t-fut-ngìn,哈律弗人,,,,
140,hap8-lit8-ngin3,ha̍p-li̍t-ngìn,哈律人,,,,
141,hap8-lit8,ha̍p-li̍t,哈律,,,,
142,hap8-liet8,ha̍p-lie̍t,哈列,,,,
143,hap8-li,ha̍p-li,哈利,,,,
144,hap8-lu-mat,ha̍p-lu-mat,哈路抹,,,,
145,hap8-la5-thai,ha̍p-lâ-thai,哈拉大,,,,
146,hap8-la5-ngin3,ha̍p-lâ-ngìn,哈拉人,,,,
147,hap8-la5-san5,ha̍p-lâ-sân,哈拉山,,,,
148,hap8-la5,ha̍p-lâ,哈拉,,,,
149,hap8-lu5-sii5,ha̍p-lû-sṳ̂,哈魯斯,,,,
150,hap8-lan3,ha̍p-làn,哈蘭,,,,
151,hap8-lim3-chhuk8,ha̍p-lìm-chhu̍k,哈琳族,,,,
152,hap8-lim3-ngin3,ha̍p-lìm-ngìn,哈琳人,,,,
153,hap8-lim3,ha̍p-lìm,哈琳,,,,
154,hap8-lo3-het,ha̍p-lò-het,哈羅黑,,,,
155,hap8-lo3-yi5,ha̍p-lò-yî,哈羅以,,,,
156,hap8-lun3,ha̍p-lùn,哈崙,,,,
157,hap8-mi2-fut-kap-mun3,ha̍p-mí-fut-kap-mùn,哈米弗甲門,,,,
158,hap8-mi2-kit-to5-tun,ha̍p-mí-kit-tô-tun,哈米吉多頓,,,,
159,hap8-mi2-thai-tha5,ha̍p-mí-thai-thâ,哈米大他,,,,
160,hap8-mak8,ha̍p-ma̍k,哈麥,,,,
161,hap8-mat8-to5-ngi2,ha̍p-ma̍t-tô-ngí,哈末．多珥,,,,
162,hap8-mat8,ha̍p-ma̍t,哈末,,,,
163,hap8-man,ha̍p-man,哈曼,,,,
164,hap8-mat,ha̍p-mat,哈抹,,,,
165,hap8-mu-tha5,ha̍p-mu-thâ,哈慕她,,,,
166,hap8-ma5,ha̍p-mâ,哈瑪,,,,
167,hap8-ma5-ngin3,ha̍p-mâ-ngìn,哈馬人,,,,
168,hap8-ma5-thi,ha̍p-mâ-thi,哈馬地,,,,
169,hap8-ma5,ha̍p-mâ,哈馬,,,,
170,hap8-ma5-so2-pa5,ha̍p-mâ-só-pâ,哈馬．瑣巴##,,,,
171,hap8-mo5-li-kit,ha̍p-mô-li-kit,哈摩利吉,,,,
172,hap8-mo5-na5,ha̍p-mô-nâ,哈摩拿,,,,
173,hap8-mo5-ni3,ha̍p-mô-nì,哈摩尼,,,,
174,hap8-mu5-let8,ha̍p-mû-le̍t,哈母勒,,,,
175,hap8-mu5-li,ha̍p-mû-li,哈母利,,,,
176,hap8-mun3,ha̍p-mùn,哈們,,,,
177,hap8-ngi2-hap8-sii5,ha̍p-ngí-ha̍p-sṳ̂,哈珥哈斯,,,,
178,hap8-nok,ha̍p-nok,哈諾,,,,
179,hap8-nui-sii5-sang3,ha̍p-nui-sṳ̂-sàng,哈內斯城,,,,
180,hap8-nun-vong3,ha̍p-nun-vòng,哈嫩王,,,,
181,hap8-nun,ha̍p-nun,哈嫩,,,,
182,hap8-na5-met8,ha̍p-nâ-me̍t,哈拿默,,,,
183,hap8-na5-ni3-nga5,ha̍p-nâ-nì-ngâ,哈拿尼雅,,,,
184,hap8-na5-ni3-a5,ha̍p-nâ-nì-â,哈拿尼亞,,,,
185,hap8-na5-ni3,ha̍p-nâ-nì,哈拿尼,,,,
186,hap8-na5-tun,ha̍p-nâ-tun,哈拿頓,,,,
187,hap8-na5,ha̍p-nâ,哈娜,,,,
188,hap8-nam3-ngiap8-thap,ha̍p-nàm-ngia̍p-thap,哈楠業塔,,,,
189,hap8-nam3-ngiap8-leu3,ha̍p-nàm-ngia̍p-lèu,哈楠業樓,,,,
190,hap8-nam3-ni3-a5,ha̍p-nàm-nì-â,哈楠尼亞,,,,
191,hap8-nan3,ha̍p-nàn,哈難,,,,
192,hap8-ni3-fut,ha̍p-nì-fut,哈尼弗,,,,
193,hap8-phat8-thai-na5,ha̍p-pha̍t-thai-nâ,哈拔大拿,,,,
194,hap8-phit-sit,ha̍p-phit-sit,哈闢悉,,,,
195,hap8-pok-ho3,ha̍p-pok-hò,哈博河,,,,
196,hap8-pok,ha̍p-pok,哈博,,,,
197,hap8-pa5-kuk,ha̍p-pâ-kuk,哈巴谷,,,,
198,hap8-pa5-nga5,ha̍p-pâ-ngâ,哈巴雅,,,,
199,hap8-pa5-se2-ni3-nga5,ha̍p-pâ-sé-nì-ngâ,哈巴洗尼雅,,,,
200,hap8-po5-na5,ha̍p-pô-nâ,哈波拿,,,,
201,hap8-se2-liuk8,ha̍p-sé-liu̍k,哈洗錄,,,,
202,hap8-se2-sun5-tha5-ma5,ha̍p-sé-sûn-thâ-mâ,哈洗遜．他瑪,,,,
203,hap8-so2-fi5-liet8,ha̍p-só-fî-lie̍t,哈瑣斐列,,,,
204,hap8-so2,ha̍p-só,哈瑣,,,,
205,hap8-sat-hap8-thi3-kon5,ha̍p-sat-ha̍p-thì-kôn,哈撒哈提干,,,,
206,hap8-sat-ka5-thai,ha̍p-sat-kâ-thai,哈薩．迦大,,,,
207,hap8-sat-ma5-fi5-ngin3,ha̍p-sat-mâ-fî-ngìn,哈薩瑪非人,,,,
208,hap8-sat-ma5-fi5,ha̍p-sat-mâ-fî,哈撒瑪非,,,,
209,hap8-sat-su5-sat,ha̍p-sat-sû-sat,哈薩．蘇撒,,,,
210,hap8-sat-su5-a5,ha̍p-sat-sû-â,哈薩．書亞,,,,
211,hap8-sat-ti2,ha̍p-sat-tí,哈撒底,,,,
212,hap8-sat-yi5-nan3,ha̍p-sat-yî-nàn,哈薩．以難,,,,
213,hap8-sat-a5-that8,ha̍p-sat-â-tha̍t,哈薩．亞達,,,,
214,hap8-sat,ha̍p-sat,哈薩,,,,
215,hap8-set-a5,ha̍p-set-â,哈塞亞,,,,
216,hap8-siet,ha̍p-siet,哈薛,,,,
217,hap8-sit-let8-po5-ni3,ha̍p-sit-le̍t-pô-nì,哈悉勒玻尼,,,,
218,hap8-sun,ha̍p-sun,哈順,,,,
219,hap8-sut,ha̍p-sut,哈述,,,,
220,hap8-sa5-na5,ha̍p-sâ-nâ,哈沙拿,,,,
221,hap8-sa5-ni3,ha̍p-sâ-nì,哈沙尼,,,,
222,hap8-sa5-pi2-nga5,ha̍p-sâ-pí-ngâ,哈沙比雅,,,,
223,hap8-sa5,ha̍p-sâ,哈沙,,,,
224,hap8-si5-nu2-a5,ha̍p-sî-nú-â,哈西努亞,,,,
225,hap8-si5-nu2,ha̍p-sî-nú,哈西努,,,,
226,hap8-si5-na5,ha̍p-sî-nâ,哈西拿,,,,
227,hap8-su5-pa5,ha̍p-sû-pâ,哈蘇巴,,,,
228,hap8-su5-pa5,ha̍p-sû-pâ,哈舒巴,,,,
229,hap8-ti2-thai,ha̍p-tí-thai,哈底大,,,,
230,hap8-tet-la5,ha̍p-tet-lâ,哈得拉,,,,
231,hap8-tet-loi3,ha̍p-tet-lòi,哈得萊,,,,
232,hap8-that8-lim3-mun3,ha̍p-tha̍t-lìm-mùn,哈達．臨門,,,,
233,hap8-that8,ha̍p-tha̍t,哈達,,,,
234,hap8-thut8,ha̍p-thu̍t,哈突,,,,
235,hap8-thai-sa5,ha̍p-thai-sâ,哈大沙,,,,
236,hap8-thai-ti2-chhia-vong3,ha̍p-thai-tí-chhia-vòng,哈大底謝王,,,,
237,hap8-thai-ti2-chhia,ha̍p-thai-tí-chhia,哈大底謝,,,,
238,hap8-thai,ha̍p-thai,哈大,,,,
239,hap8-thap,ha̍p-thap,哈塔,,,,
240,hap8-thiap8,ha̍p-thia̍p,哈疊,,,,
241,hap8-thi,ha̍p-thi,哈替,,,,
242,hap8-thi-ngin3,ha̍p-thi-ngìn,哈第人,,,,
243,hap8-thi,ha̍p-thi,哈第,,,,
244,hap8-tha5-kiet,ha̍p-thâ-kiet,哈他革,,,,
245,hap8-thi3-fap,ha̍p-thì-fap,哈提法,,,,
246,hap8-to5-lan3-ngin3,ha̍p-tô-làn-ngìn,哈多蘭人,,,,
247,hap8-to5-lan3,ha̍p-tô-làn,哈多蘭,,,,
248,hap8-vi5-thit8-ngai3-ngi2,ha̍p-vî-thi̍t-ngài-ngí,哈倭特．睚珥,,,,
249,ha-kap-ngin3,ha-kap-ngìn,夏甲人,,,,
250,ha-kap,ha-kap,夏甲,,,,
251,ha-lo3-sat,ha-lò-sat,夏羅設,,,,
252,ha-so2-hap8-thai-tha5,ha-só-ha̍p-thai-thâ,夏瑣．哈大他,,,,
253,ha-so2-ngin3,ha-só-ngìn,夏瑣人,,,,
254,ha-so2-sang3,ha-só-sàng,夏瑣城,,,,
255,ha-so2-vong3,ha-só-vòng,夏瑣王,,,,
256,ha-so2,ha-só,夏瑣,,,,
257,ha-va5,ha-vâ,夏娃,,,,
258,het-kap,het-kap,黑甲,,,,
259,het-let8-sii5,het-le̍t-sṳ̂,黑勒施,,,,
260,het-mi2,het-mí,黑米,,,,
261,het-ma5,het-mâ,黑馬,,,,
262,het-mo5-khi3-ni3,het-mô-khì-nì,黑摩其尼,,,,
263,het-mun3-liang5,het-mùn-liâng,黑門嶺,,,,
264,het-mun3-san5,het-mùn-sân,黑門山,,,,
265,het-mun3,het-mùn,黑門,,,,
266,het-pun2,het-pún,黑本,,,,
267,het-pa5-lit8,het-pâ-li̍t,謁巴力,,,,
268,het-pa5,het-pâ,黑巴,,,,
269,het-siit8-mun3,het-sṳ̍t-mùn,黑實門,,,,
270,het-thoi,het-thoi,黑玳,,,,
271,het-ngin3,het-ngìn,赫人,,,,
272,het,het,赫,,,,
273,hiong2-nap8,hióng-na̍p,享納,,,,
274,hiap8-si5-pa5,hia̍p-sî-pâ,協西巴,,,,
275,hiun-sang3,hiun-sàng,訓城,,,,
276,hiun5-nun-e2-kuk,hiûn-nun-é-kuk,欣嫩仔谷,,,,
277,hiun5-nun-e2,hiûn-nun-é,欣嫩仔,,,,
278,hiun5-nun-chii2-kuk,hiûn-nun-chṳ́-kuk,欣嫩子谷,,,,
279,hiun5-nun-chii2,hiûn-nun-chṳ́,欣嫩子,,,,
280,hiun5-nun-kuk,hiûn-nun-kuk,欣嫩谷,,,,
281,hiun5-nun,hiûn-nun,欣嫩,,,,
282,hiun5-than,hiûn-than,欣但,,,,
283,ho-lan3,ho-làn,浩蘭,,,,
284,hon-ngiap,hon-ngiap,漢聶,,,,
285,hon-ni3-ngiap8,hon-nì-ngia̍p,漢尼業,,,,
286,hot-hap8-khip8-kap,hot-ha̍p-khi̍p-kap,曷．哈及甲,,,,
287,hot-la5,hot-lâ,曷拉,,,,
288,ha5-siet-vong3,hâ-siet-vòng,哈薛王,,,,
289,hi5-fut,hî-fut,希弗,,,,
290,hi5-hot-lip8-nap8,hî-hot-li̍p-na̍p,希曷．立納,,,,
291,hi5-kai5,hî-kâi,希該,,,,
292,hi5-let8-khai2,hî-le̍t-khái,希勒愷,,,,
293,hi5-let8-ka5,hî-le̍t-kâ,希勒家,,,,
294,hi5-let8,hî-le̍t,希勒,,,,
295,hi5-lip8,hî-li̍p,希立,,,,
296,hi5-lit8-tong2,hî-li̍t-tóng,希律黨,,,,
297,hi5-lit8-vong3,hî-li̍t-vòng,希律王,,,,
298,hi5-lit8,hî-li̍t,希律,,,,
299,hi5-liap8-koet,hî-lia̍p-koet,希臘國,,,,
300,hi5-liap8-ngin3,hî-lia̍p-ngìn,希臘人,,,,
301,hi5-liap8-vun3,hî-lia̍p-vùn,希臘文,,,,
302,hi5-liap8,hî-lia̍p,希臘,,,,
303,hi5-liet8-sii5,hî-lie̍t-sṳ̂,希列斯,,,,
304,hi5-liet8-san5,hî-lie̍t-sân,希烈山,,,,
305,hi5-liet8,hî-lie̍t,希列,,,,
306,hi5-li-fut,hî-li-fut,希利弗,,,,
307,hi5-li-po5-li2-sang3,hî-li-pô-lí-sàng,希利坡里城,,,,
308,hi5-li-po5,hî-li-pô,希利波,,,,
309,hi5-li-sii5,hî-li-sṳ̂,希利斯,,,,
310,hi5-lien3,hî-lièn,希連,,,,
311,hi5-la5-po5-lip8,hî-lâ-pô-li̍p,希拉波立,,,,
312,hi5-la5,hî-lâ,希拉,,,,
313,hi5-li5,hî-lî,希里,,,,
314,hi5-lan3-vong3,hî-làn-vòng,希蘭王,,,,
315,hi5-lan3,hî-làn,希蘭,,,,
316,hi5-lo3-ti2,hî-lò-tí,希羅底,,,,
317,hi5-lo3-thien5,hî-lò-thiên,希羅天,,,,
318,hi5-lun3,hî-lùn,希崙,,,,
319,hi5-lun3,hî-lùn,希倫,,,,
320,hi5-man,hî-man,希幔,,,,
321,hi5-ngi2-mi2,hî-ngí-mí,希耳米,,,,
322,hi5-na5-that8,hî-nâ-tha̍t,希拿達,,,,
323,hi5-na5,hî-nâ,希拿,,,,
324,hi5-ni3,hî-nì,希尼,,,,
325,hi5-pak-loi3-vun3,hî-pak-lòi-vùn,希伯來文,,,,
326,hi5-pak-loi3-chhuk8,hî-pak-lòi-chhu̍k,希伯來族,,,,
327,hi5-pak-loi3-fa,hî-pak-lòi-fa,希伯來話,,,,
328,hi5-pak-loi3-ngin3,hî-pak-lòi-ngìn,希伯來人,,,,
329,hi5-pak-loi3-vun3,hî-pak-lòi-vùn,希伯來文,,,,
330,hi5-pak-loi3,hî-pak-lòi,希伯來,,,,
331,hi5-pak-lun3,hî-pak-lùn,希伯倫,,,,
332,hi5-pak-lun3-sang3,hî-pak-lùn-sàng,希伯崙城,,,,
333,hi5-pak-lun3-vong3,hî-pak-lùn-vòng,希伯崙王,,,,
334,hi5-pak-lun3,hî-pak-lùn,希伯崙,,,,
335,hi5-pak,hî-pak,希百,,,,
336,hi5-pak-ka5,hî-pak-kâ,希百家,,,,
337,hi5-pak,hî-pak,希伯,,,,
338,hi5-phet8,hî-phe̍t,希別,,,,
339,hi5-siit8-pun2-ngin3,hî-sṳ̍t-pún-ngìn,希實本人,,,,
340,hi5-siit8-pun2-sang3,hî-sṳ̍t-pún-sàng,希實本城,,,,
341,hi5-siit8-pun2-vong3,hî-sṳ̍t-pún-vòng,希實本王,,,,
342,hi5-siit8-pun2,hî-sṳ̍t-pún,希實本,,,,
343,hi5-sit,hî-sit,希悉,,,,
344,hi5-si5-ka5-vong3,hî-sî-kâ-vòng,希西家王,,,,
345,hi5-si5-ka5,hî-sî-kâ,希西家,,,,
346,hi5-si5-ki5,hî-sî-kî,希西基,,,,
347,hi5-sii5-loi3,hî-sṳ̂-lòi,希斯萊人,,,,
348,hi5-sii5-lo3,hî-sṳ̂-lò,希斯羅,,,,
349,hi5-sii5-lun3,hî-sṳ̂-lùn,希斯崙,,,,
350,hi5-sun3,hî-sùn,希旬,,,,
351,hi5-ti2-ka5,hî-tí-kâ,希底家,,,,
352,hi5-thit8-lun3,hî-thi̍t-lùn,希特倫,,,,
353,hi5-thai,hî-thai,希太,,,,
354,hi5-vi-ngin3,hî-vi-ngìn,希未人,,,,
355,hi5-vi,hî-vi,希未,,,,
356,hi5-yi5-let8,hî-yî-le̍t,希伊勒,,,,
357,ham3,hàm,含,,,,
358,ho3-fut-ni3,hò-fut-nì,何弗尼,,,,
359,ho3-hi5-a5,hò-hî-â,何希阿,,,,
360,ho3-ham3,hò-hàm,何咸,,,,
361,ho3-liet8-san5,hò-lie̍t-sân,何烈山,,,,
362,ho3-liet8,hò-lie̍t,何烈,,,,
363,ho3-li-ngin3,hò-li-ngìn,何利人,,,,
364,ho3-li,hò-li,何利,,,,
365,ho3-lan3,hò-làn,何蘭,,,,
366,ho3-lo3-ngiam-ngin3,hò-lò-ngiam-ngìn,何羅念人,,,,
367,ho3-lo3-ngiam,hò-lò-ngiam,何羅念,,,,
368,ho3-lun3,hò-lùn,何倫,,,,
369,ho3-lun3,hò-lùn,何崙,,,,
370,ho3-ngi2-ma5,hò-ngí-mâ,何珥瑪,,,,
371,ho3-ngi2-san5,hò-ngí-sân,何珥山,,,,
372,ho3-ngi2,hò-ngí,何珥,,,,
373,ho3-pa5,hò-pâ,何巴,,,,
374,ho3-sat,hò-sat,何薩,,,,
375,ho3-se-a5-vong3,hò-se-â-vòng,何細亞王,,,,
376,ho3-se-a5,hò-se-â,何細亞,,,,
377,ho3-sa5-ma5,hò-sâ-mâ,何沙瑪,,,,
378,ho3-sa5-nga5,hò-sâ-ngâ,何沙雅,,,,
379,ho3-si5-a5,hò-sî-â,何西亞,,,,
380,ho3-si5-sen2,hò-sî-sén,河西省,,,,
381,ho3-tet,hò-tet,河得,,,,
382,ho3-than2,hò-thán,何坦,,,,
383,ho3-that8-vi5-nga5,hò-tha̍t-vî-ngâ,何達威雅,,,,
384,ho3-thai-nga5,hò-thai-ngâ,何大雅,,,,
385,ho3-thi-nga5,hò-thi-ngâ,荷第雅,,,,
386,ho3-thi3,hò-thì,何提,,,,
387,kam2-lam2-san5,kám-lám-sân,橄欖山,,,,
388,ku2-li-nai-ngin3,kú-li-nai-ngìn,古利奈人,,,,
389,ku2-li-nai,kú-li-nai,古利奈,,,,
390,ku2-mun3,kú-mùn,古門,,,,
391,ku2-ni3,kú-nì,古尼,,,,
392,ku2-siit8-ngin3,kú-sṳ̍t-ngìn,古實人,,,,
393,ku2-siit8-vong3,kú-sṳ̍t-vòng,古實王,,,,
394,ku2-siit8,kú-sṳ̍t,古實,,,,
395,ku2-sii,kú-sṳ,古示,,,,
396,ku2-sa5-nga5,kú-sâ-ngâ,古沙雅,,,,
397,ku2-san5-li-sat-thien3-vong3,kú-sân-li-sat-thièn-vòng,古珊．利薩田王,,,,
398,ku2-san5-li-sat-thien3,kú-sân-li-sat-thièn,古珊．利薩田,,,,
399,ku2-san5-ngin3,kú-sân-ngìn,古珊人,,,,
400,ku2-tha5-ngin3,kú-thâ-ngìn,古他人,,,,
401,ku2-tha5,kú-thâ,古他,,,,
402,kap-kok,kap-kok,甲各,,,,
403,kap-ka5,kap-kâ,甲加,,,,
404,kap-ka5,kap-kâ,甲迦,,,,
405,kap-met8,kap-me̍t,甲篾,,,,
406,kap-mo5-ni3-ngin3,kap-mô-nì-ngìn,甲摩尼人,,,,
407,kap-mo5-ni3,kap-mô-nì,甲摩尼,,,,
408,kap-ni3-sang3,kap-nì-sàng,甲尼城,,,,
409,kap-siet,kap-siet,甲薛,,,,
410,kap-siet-ngin3,kap-siet-ngìn,甲薛人,,,,
411,kap-sii-na5,kap-sṳ-nâ,甲示拿,,,,
412,khai2-sat-li-a5-fi5-lip8-pi2,khái-sat-li-â-fî-li̍p-pí,該撒利亞腓立比,,,,
413,khai2-sat-li-a5,khái-sat-li-â,凱撒利亞,,,,
414,kho2-li,khó-li,可利,,,,
415,kho2-la5-chhuk8,khó-lâ-chhu̍k,可拉族,,,,
416,kho2-la5,khó-lâ,可拉,,,,
417,khu2-hoi2,khú-hói,苦海,,,,
418,khu2-sat,khú-sat,苦撒,,,,
419,khip8-lun3-hai5,khi̍p-lùn-hâi,汲淪溪,,,,
420,khip8-lun3-kuk,khi̍p-lùn-kuk,汲淪谷,,,,
421,khip8-lun3,khi̍p-lùn,汲淪,,,,
422,khiet-li5-thit8-ngin3,khiet-lî-thi̍t-ngìn,克里特人,,,,
423,khiet-li5-thit8-to2,khiet-lî-thi̍t-tó,克里特島,,,,
424,khiet-li5-thit8,khiet-lî-thi̍t,克里特,,,,
425,khiet-lo3-thit8-nga5,khiet-lò-thi̍t-ngâ,克勞狄雅,,,,
426,khiet-lo3-thi-li5-si5-a5,khiet-lò-thi-lî-sî-â,克勞第呂西亞,,,,
427,khiet-lo3-thi,khiet-lò-thi,克勞第,,,,
428,khiet-si5-ma5-ni3-yen3,khiet-sî-mâ-nì-yèn,克西馬尼園,,,,
429,khiet-si5-ma5-ni3,khiet-sî-mâ-nì,客尼馬尼,,,,
430,khiu-li,khiu-li,臼利,,,,
431,khiun-tun,khiun-tun,近頓,,,,
432,khiun-tung5,khiun-tûng,近東,,,,
433,khiun5-tun-chhuk8,khiûn-tun-chhu̍k,近頓族,,,,
434,khiun5-tun,khiûn-tun,近頓,,,,
435,kiun2-so2,kiún-só,瑾鎖,,,,
436,kiet-ka5-sat-ngin3,kiet-kâ-sat-ngìn,革迦撒人,,,,
437,kiet-ka5-sat,kiet-kâ-sat,革迦撒,,,,
438,kiet-let8-sii,kiet-le̍t-sṳ,革勒士,,,,
439,kiet-li-mien5,kiet-li-miên,革利免,,,,
440,kiet-liu3-pa5,kiet-liù-pâ,革流巴,,,,
441,kiet-la5-sem5-ngin3,kiet-lâ-sêm-ngìn,革拉森人,,,,
442,kiet-la5-sem5,kiet-lâ-sêm,格拉森,,,,
443,kiet-lo3-pha,kiet-lò-pha,革羅罷,,,,
444,kiet-loi3,kiet-lòi,革來,,,,
445,kiet-ni3-sat-let8,kiet-nì-sat-le̍t,革尼撒勒,,,,
446,kiet-ni3-thu2,kiet-nì-thú,革尼土,,,,
447,kiet-sun,kiet-sun,革順,,,,
448,kiet-sun-chhuk8,kiet-sun-chhu̍k,革順族,,,,
449,kiet-sun,kiet-sun,革舜,,,,
450,kit-kap,kit-kap,吉甲,,,,
451,kit-ngi2-hap8-liet8-sat-ngin3,kit-ngí-ha̍p-lie̍t-sat-ngìn,吉珥．哈列設人,,,,
452,kit-ngi2-hap8-liet8-sat-sang3,kit-ngí-ha̍p-lie̍t-sat-sàng,吉珥．哈列設城,,,,
453,kit-ngi2-hap8-liet8-sat,kit-ngí-ha̍p-lie̍t-sat,吉珥．哈列設,,,,
454,kit-ngi2,kit-ngí,吉珥,,,,
455,kit-pa-ngi2,kit-pa-ngí,吉罷珥,,,,
456,kit-sii5-liuk8-tha5-phok,kit-sṳ̂-liu̍k-thâ-phok,吉斯綠．他泊,,,,
457,kit-tet,kit-tet,吉德,,,,
458,kien5-kiet-li5,kiên-kiet-lî,堅革哩,,,,
459,kiun5,kiûn,均,,,,
460,koat-thu2,koat-thú,括土,,,,
461,kok-ho3-si5,kok-hò-sî,各荷西,,,,
462,kok-kok-tha5,kok-kok-thâ,各各他,,,,
463,kok-mun3,kok-mùn,角門,,,,
464,kot-li5-san5,kot-lî-sân,割禮山,,,,
465,ku-phu2,ku-phú,故普,,,,
466,kuk-ho3-si5,kuk-hò-sî,谷何西,,,,
467,kuk-ko5-thai,kuk-kô-thai,谷歌大,,,,
468,kuk-mun3,kuk-mùn,谷門,,,,
469,ka5-chhia,kâ-chhia,迦謝,,,,
470,ka5-fi5-thok-ngin3,kâ-fî-thok-ngìn,迦斐託人,,,,
471,ka5-fi5-thok,kâ-fî-thok,迦斐託,,,,
472,ka5-fi5-thot-to2,kâ-fî-thot-tó,迦斐託島,,,,
473,ka5-hap8,kâ-ha̍p,迦哈,,,,
474,ka5-ham3,kâ-hàm,迦含,,,,
475,ka5-khiok,kâ-khiok,迦卸,,,,
476,ka5-kok,kâ-kok,加各,,,,
477,ka5-ki5-mi2-sii5,kâ-kî-mí-sṳ̂,迦基米施,,,,
478,ka5-let8-no3,kâ-le̍t-nò,迦勒挪,,,,
479,ka5-let8-ti2-koet,kâ-le̍t-tí-koet,迦勒底國,,,,
480,ka5-let8-ti2-ngin3,kâ-le̍t-tí-ngìn,迦勒底人,,,,
481,ka5-let8-ti2,kâ-le̍t-tí,迦勒底,,,,
482,ka5-let8-chhuk8,kâ-le̍t-chhu̍k,迦勒族,,,,
483,ka5-let8,kâ-le̍t,迦勒,,,,
484,ka5-lip8-san5,kâ-li̍p-sân,迦立山,,,,
485,ka5-lip8,kâ-li̍p,迦立,,,,
486,ka5-liok8-hi5-sii5-lun3,kâ-lio̍k-hî-sṳ̂-lùn,加略．希斯崙,,,,
487,ka5-liok8-ngin3,kâ-lio̍k-ngìn,加略人,,,,
488,ka5-liok8,kâ-lio̍k,加略,,,,
489,ka5-li-li-fu3,kâ-li-li-fù,加利利湖,,,,
490,ka5-li-li-ngin3,kâ-li-li-ngìn,加利利人,,,,
491,ka5-li-li-sen2,kâ-li-li-sén,加利利省,,,,
492,ka5-li-li,kâ-li-li,加利利,,,,
493,ka5-li-a5,kâ-li-â,加利亞,,,,
494,ka5-liu3,kâ-liù,迦流,,,,
495,ka5-lui-tet,kâ-lui-tet,迦累得,,,,
496,ka5-la5-thai-ngin3,kâ-lâ-thai-ngìn,加拉太人,,,,
497,ka5-la5-thai-sen2,kâ-lâ-thai-sén,加拉太省,,,,
498,ka5-la5-thai,kâ-lâ-thai,加拉太,,,,
499,ka5-la5-sang3,kâ-lâ-sàng,迦拉城,,,,
500,ka5-la5,kâ-lâ,迦拉,,,,
501,ka5-lim3-ngin3,kâ-lìm-ngìn,迦琳人,,,,
502,ka5-loi3,kâ-lòi,加萊,,,,
503,ka5-mi2,kâ-mí,迦米,,,,
504,ka5-mat8,kâ-ma̍t,迦末,,,,
505,ka5-met8-ngin3,kâ-me̍t-ngìn,迦密人,,,,
506,ka5-met8-san5,kâ-me̍t-sân,迦密山,,,,
507,ka5-met8-sang3,kâ-me̍t-sàng,迦密城,,,,
508,ka5-met8,kâ-me̍t,迦密,,,,
509,ka5-ma5-liet8,kâ-mâ-lie̍t,迦瑪列,,,,
510,ka5-ma5-ti2,kâ-mâ-tí,迦瑪底人,,,,
511,ka5-mun3,kâ-mùn,加們,,,,
512,ka5-ngi2-than2,kâ-ngí-thán,加珥坦,,,,
513,ka5-ngi2-tha5,kâ-ngí-thâ,加珥他,,,,
514,ka5-na5-thai,kâ-nâ-thai,加拿大,,,,
515,ka5-na5-ho3,kâ-nâ-hò,加拿河,,,,
516,ka5-na5-ngin3,kâ-nâ-ngìn,迦拿人,,,,
517,ka5-na5-sang3,kâ-nâ-sàng,迦拿城,,,,
518,ka5-na5,kâ-nâ,迦拿,,,,
519,ka5-nam3-ngin3,kâ-nàm-ngìn,迦南人,,,,
520,ka5-nam3-thi,kâ-nàm-thi,迦南地,,,,
521,ka5-nam3-vong3,kâ-nàm-vòng,迦南王,,,,
522,ka5-nam3,kâ-nàm,迦南,,,,
523,ka5-nen3,kâ-nèn,加寧,,,,
524,ka5-o,kâ-o,佳澳,,,,
525,ka5-pun2,kâ-pún,迦本,,,,
526,ka5-pai,kâ-pai,迦拜,,,,
527,ka5-pak-liet8,kâ-pak-lie̍t,加百列,,,,
528,ka5-pak-nung3-sang3,kâ-pak-nùng-sàng,迦百農城,,,,
529,ka5-pak-nung3,kâ-pak-nùng,迦百農,,,,
530,ka5-pha-to5-ka5,kâ-pha-tô-kâ,加帕多家,,,,
531,ka5-phu-let8,kâ-phu-le̍t,迦步勒,,,,
532,ka5-pu,kâ-pu,加布,,,,
533,ka5-pa5-let8-ngin3,kâ-pâ-le̍t-ngìn,迦巴勒人,,,,
534,ka5-pa5-let8-sang3,kâ-pâ-le̍t-sàng,迦巴勒城,,,,
535,ka5-pa5-let8,kâ-pâ-le̍t,迦巴勒,,,,
536,ka5-pa5-lu5,kâ-pâ-lû,迦巴魯,,,,
