ID,FHL_DICT_Numeric,FHL_DICT_Unicode,Hanzi,Tai-gi,Hakfa-exp,Hua-gi,Eng-gi
19463,thai3-kin5,thài-kîn,蹄筋,,,,
19464,thai3-sang5,thài-sâng,啼聲,,,,
19465,thai3-thai3,thài-thài,汰汰,,,,
19466,thai3,thài,啼,,,,
19467,thai3,thài,蹄,,,,
19468,tham3-chhin3,thàm-chhìn,談情,,,,
19469,tham3-lun,thàm-lun,談論,,,,
19470,tham3-phan,thàm-phan,談判,,,,
19471,tham3,thàm,談,,,,
19472,than3-cheu,thàn-cheu,彈奏,,,,
19473,than3-chhut,thàn-chhut,彈出,,,,
19474,than3-hiong5-muk,thàn-hiông-muk,檀香木,,,,
19475,than3-hiong5,thàn-hiông,檀香,,,,
19476,than3-khim3,thàn-khìm,彈琴,,,,
19477,than3-kiok,thàn-kiok,壇腳,,,,
19478,than3-kiung5,thàn-kiûng,彈弓,,,,
19479,than3-mien,thàn-mien,壇面,,,,
19480,than3-sak8,thàn-sa̍k,彈石,,,,
19481,than3-sien,thàn-sien,彈線,,,,
19482,than3-sit,thàn-sit,彈瑟,,,,
19483,than3-song,thàn-song,壇上,,,,
19484,than3-sun3,thàn-sùn,壇sun3,,,,
19485,than3-tai2,thàn-tái,壇底,,,,
19486,than3-tang2,thàn-táng,壇頂,,,,
19487,than3-to,thàn-to,彈到,,,,
19488,than3,thàn,彈,,,,
19489,than3,thàn,壇,,,,
19490,then3-e2,thèn-é,藤仔,,,,
19491,then3-chhiung3,thèn-chhiùng,跈從,,,,
19492,then3-hi,thèn-hi,跈去,,,,
19493,then3-hong,thèn-hong,藤項,,,,
19494,then3-ko,thèn-ko,跈過,,,,
19495,then3-loi3,thèn-lòi,跈來,,,,
19496,then3-ngin3,thèn-ngìn,跈人,,,,
19497,then3-phai3,thèn-phài,籐牌,,,,
19498,then3-ten2,thèn-tén,跈著,,,,
19499,then3-thiau3,thèn-thiàu,藤條,,,,
19500,then3-to,thèn-to,跈到,,,,
19501,then3-yap8,thèn-ya̍p,藤葉,,,,
19502,then3-yong,thèn-yong,跈樣,,,,
19503,then3,thèn,跈,,,,
19504,then3,thèn,藤,,,,
19505,theu3-chhien3,thèu-chhièn,頭前,,,,
19506,theu3-chhiin,thèu-chhṳn,頭陣,,,,
19507,theu3-ha,thèu-ha,頭下,,,,
19508,theu3-ho,thèu-ho,頭號,,,,
19509,theu3-hong,thèu-hong,頭項,,,,
19510,theu3-hin3,thèu-hìn,頭慇,,,,
19511,theu3-hong3,thèu-hòng,投降,,,,
19512,theu3-kho,thèu-kho,投靠,,,,
19513,theu3-khui5,thèu-khûi,頭盔,,,,
19514,theu3-ka5-ngiong3,thèu-kâ-ngiòng,頭家娘,,,,
19515,theu3-ka5,thèu-kâ,頭家,,,,
19516,theu3-kin5,thèu-kîn,頭巾,,,,
19517,theu3-lu,thèu-lu,頭路,,,,
19518,theu3-miang3,thèu-miàng,頭名,,,,
19519,theu3-muk,thèu-muk,頭目,,,,
19520,theu3-mi5,thèu-mî,頭尾,,,,
19521,theu3-no2,thèu-nó,頭腦,,,,
19522,theu3-ngit,thèu-ngit,頭日,,,,
19523,theu3-ngien3,thèu-ngièn,頭年,,,,
19524,theu3-ngin3,thèu-ngìn,頭人,,,,
19525,theu3-na3-hok,thèu-nà-hok,頭那殼,,,,
19526,theu3-na3-mo5,thèu-nà-mô,頭那毛,,,,
19527,theu3-na3,thèu-nà,頭那,,,,
19528,theu3-pai2,thèu-pái,頭擺,,,,
19529,theu3-puk,thèu-puk,頭幅,,,,
19530,theu3-sak8,thèu-sa̍k,投石,,,,
19531,theu3-sien5,thèu-siên,頭先,,,,
19532,theu3-song,thèu-song,頭上,,,,
19533,theu3-sang5-e2,thèu-sâng-é,頭牲仔,,,,
19534,theu3-sang5-chi,thèu-sâng-chi,頭牲祭,,,,
19535,theu3-sang5,thèu-sâng,頭牲,,,,
19536,theu3-siin3,thèu-sṳ̀n,頭神,,,,
19537,theu3-tang2,thèu-táng,頭頂,,,,
19538,theu3-thien5,thèu-thiên,頭天,,,,
19539,theu3-thoi5,thèu-thôi,頭胎,,,,
19540,theu3-to-mi5,thèu-to-mî,頭到尾,,,,
19541,theu3-yit,thèu-yit,頭一,,,,
19542,theu3-e3,thèu-è,頭仔,,,,
19543,theu3,thèu,頭,,,,
19544,theu3,thèu,投,,,,
19545,thi3-cho2,thì-chó,提早,,,,
19546,thi3-chhong,thì-chhong,提倡,,,,
19547,thi3-chhut,thì-chhut,提出,,,,
19548,thi3-chhin5,thì-chhîn,提親,,,,
19549,thi3-fong3,thì-fòng,提防,,,,
19550,thi3-hi2,thì-hí,提起,,,,
19551,thi3-kiung5,thì-kiûng,提供,,,,
19552,thi3-ko5,thì-kô,提高,,,,
19553,thi3-lien,thì-lien,提煉,,,,
19554,thi3-muk,thì-muk,題目,,,,
19555,thi3-mo5-thai-chhien3-su5,thì-mô-thai-chhièn-sû,提摩太前書,,,,
19556,thi3-mo5-thai-heu-su5,thì-mô-thai-heu-sû,提摩太後書,,,,
19557,thi3-ngi,thì-ngi,提議,,,,
19558,thi3-phat8,thì-pha̍t,提拔,,,,
19559,thi3-phet8-ngiet8,thì-phe̍t-ngie̍t,提別月,,,,
19560,thi3-pit,thì-pit,提筆,,,,
19561,thi3-siang2,thì-siáng,提醒,,,,
19562,thi3-sii,thì-sṳ,提示,,,,
19563,thi3-siin5,thì-sṳ̂n,提升,,,,
19564,thi3-to2,thì-tó,提到,,,,
19565,thi3-to5-su5,thì-tô-sû,提多書,,,,
19566,thi3,thì,提,,,,
19567,thin3-chii2,thìn-chṳ́,停止,,,,
19568,thin3-chha5,thìn-chhâ,停車,,,,
19569,thin3-fong,thìn-fong,停放,,,,
19570,thin3-ha5-loi3,thìn-hâ-lòi,停下來,,,,
19571,thin3-ha5,thìn-hâ,停下,,,,
19572,thin3-kiok,thìn-kiok,停腳,,,,
19573,thin3-ko,thìn-ko,停過,,,,
19574,thin3-kung5,thìn-kûng,停工,,,,
19575,thin3-liu3,thìn-liù,停留,,,,
19576,thin3-liu3,thìn-liù,停流,,,,
19577,thin3-son3,thìn-sòn,停船,,,,
19578,thin3-thet,thìn-thet,停掉,,,,
19579,thin3-tho3,thìn-thò,停跎,,,,
19580,thin3-yen,thìn-yen,庭院,,,,
19581,thin3-e3,thìn-è,亭仔,,,,
19582,thin3,thìn,停,,,,
19583,tho3-cheu2,thò-chéu,逃走,,,,
19584,tho3-chhut-loi3,thò-chhut-lòi,逃出來,,,,
19585,tho3-chhut,thò-chhut,逃出,,,,
19586,tho3-hi,thò-hi,逃去,,,,
19587,tho3-ko,thò-ko,逃過,,,,
19588,tho3-kung5,thò-kûng,舵公,,,,
19589,tho3-li3,thò-lì,逃離,,,,
19590,tho3-miang,thò-miang,逃命,,,,
19591,tho3-mong3,thò-mòng,逃亡,,,,
19592,tho3-nan,thò-nan,逃難,,,,
19593,tho3-ngip8,thò-ngi̍p,逃入,,,,
19594,tho3-niau5,thò-niâu,駝鳥,,,,
19595,tho3-phit,thò-phit,逃避,,,,
19596,tho3-poi,thò-poi,駝背,,,,
19597,tho3-pin5,thò-pîn,逃兵,,,,
19598,tho3-sam2-sang3,thò-sám-sàng,逃閃城,,,,
19599,tho3-sam2,thò-sám,逃閃,,,,
19600,tho3-sang5,thò-sâng,逃生,,,,
19601,tho3-ten2,thò-tén,紽著,,,,
19602,tho3-thai,thò-thai,淘汰,,,,
19603,tho3-thak,thò-thak,紽thak,,,,
19604,tho3-to,thò-to,逃到,,,,
19605,tho3,thò,逃,,,,
