ID,FHL_DICT_Numeric,PFS_Numeric,PFS_Unicode,Hakfa_IPA,Hanzi,Tai-gi,Hakfa-exp,Hua-gi,Eng-gi
129,hap8-ki5-la5-san5,hap5-ki1-la1-san1,ha̍p-kî-lâ-sân,[hap̚˥] [ki˨˦] [la˨˦] [san˨˦],哈基拉山,,,,
130,hap8-ki5-la5,hap5-ki1-la1,ha̍p-kî-lâ,[hap̚˥] [ki˨˦] [la˨˦],哈基拉,,,,
131,hap8-ki5-nga5,hap5-ki1-nga1,ha̍p-kî-ngâ,[hap̚˥] [ki˨˦] [ŋa˨˦],哈基雅,,,,
132,hap8-ki5-to5-lim3,hap5-ki1-to1-lim2,ha̍p-kî-tô-lìm,[hap̚˥] [ki˨˦] [to˨˦] [lim˩˩],哈基多琳,,,,
133,hap8-ki5,hap5-ki1,ha̍p-kî,[hap̚˥] [ki˨˦],哈基,,,,
134,hap8-ko5-sii5,hap5-ko1-sii1,ha̍p-kô-sṳ̂,[hap̚˥] [ko˨˦] [sɨ˨˦],哈歌斯,,,,
135,hap8-ko5-sii5,hap5-ko1-sii1,ha̍p-kô-sṳ̂,[hap̚˥] [ko˨˦] [sɨ˨˦],哈哥斯,,,,
136,hap8-lap8-sang3,hap5-lap5-sang2,ha̍p-la̍p-sàng,[hap̚˥] [lap̚˥] [saŋ˩˩],哈臘城,,,,
137,hap8-lap8,hap5-lap5,ha̍p-la̍p,[hap̚˥] [lap̚˥],哈臘,,,,
138,hap8-let8,hap5-let5,ha̍p-le̍t,[hap̚˥] [let̚˥],哈勒,,,,
139,hap8-lit8-fut-ngin3,hap5-lit5-fut6-ngin2,ha̍p-li̍t-fut-ngìn,[hap̚˥] [lit̚˥] [fut̚˨] [ɲin˩˩],哈律弗人,,,,
140,hap8-lit8-ngin3,hap5-lit5-ngin2,ha̍p-li̍t-ngìn,[hap̚˥] [lit̚˥] [ɲin˩˩],哈律人,,,,
141,hap8-lit8,hap5-lit5,ha̍p-li̍t,[hap̚˥] [lit̚˥],哈律,,,,
142,hap8-liet8,hap5-liet5,ha̍p-lie̍t,[hap̚˥] [liet̚˥],哈列,,,,
143,hap8-li,hap5-li4,ha̍p-li,[hap̚˥] [li˥˥],哈利,,,,
144,hap8-lu-mat,hap5-lu4-mat6,ha̍p-lu-mat,[hap̚˥] [lu˥˥] [mat̚˨],哈路抹,,,,
145,hap8-la5-thai,hap5-la1-thai4,ha̍p-lâ-thai,[hap̚˥] [la˨˦] [tʰai˥˥],哈拉大,,,,
146,hap8-la5-ngin3,hap5-la1-ngin2,ha̍p-lâ-ngìn,[hap̚˥] [la˨˦] [ɲin˩˩],哈拉人,,,,
147,hap8-la5-san5,hap5-la1-san1,ha̍p-lâ-sân,[hap̚˥] [la˨˦] [san˨˦],哈拉山,,,,
148,hap8-la5,hap5-la1,ha̍p-lâ,[hap̚˥] [la˨˦],哈拉,,,,
149,hap8-lu5-sii5,hap5-lu1-sii1,ha̍p-lû-sṳ̂,[hap̚˥] [lu˨˦] [sɨ˨˦],哈魯斯,,,,
150,hap8-lan3,hap5-lan2,ha̍p-làn,[hap̚˥] [lan˩˩],哈蘭,,,,
151,hap8-lim3-chhuk8,hap5-lim2-chhuk5,ha̍p-lìm-chhu̍k,[hap̚˥] [lim˩˩] [tsʰuk̚˥],哈琳族,,,,
152,hap8-lim3-ngin3,hap5-lim2-ngin2,ha̍p-lìm-ngìn,[hap̚˥] [lim˩˩] [ɲin˩˩],哈琳人,,,,
153,hap8-lim3,hap5-lim2,ha̍p-lìm,[hap̚˥] [lim˩˩],哈琳,,,,
154,hap8-lo3-het,hap5-lo2-het6,ha̍p-lò-het,[hap̚˥] [lo˩˩] [het̚˨],哈羅黑,,,,
155,hap8-lo3-yi5,hap5-lo2-yi1,ha̍p-lò-yî,[hap̚˥] [lo˩˩] [yi˨˦],哈羅以,,,,
156,hap8-lun3,hap5-lun2,ha̍p-lùn,[hap̚˥] [lun˩˩],哈崙,,,,
157,hap8-mi2-fut-kap-mun3,hap5-mi3-fut6-kap6-mun2,ha̍p-mí-fut-kap-mùn,[hap̚˥] [mi˧˩] [fut̚˨] [kap̚˨] [mun˩˩],哈米弗甲門,,,,
158,hap8-mi2-kit-to5-tun,hap5-mi3-kit6-to1-tun4,ha̍p-mí-kit-tô-tun,[hap̚˥] [mi˧˩] [kit̚˨] [to˨˦] [tun˥˥],哈米吉多頓,,,,
159,hap8-mi2-thai-tha5,hap5-mi3-thai4-tha1,ha̍p-mí-thai-thâ,[hap̚˥] [mi˧˩] [tʰai˥˥] [tʰa˨˦],哈米大他,,,,
160,hap8-mak8,hap5-mak5,ha̍p-ma̍k,[hap̚˥] [mak̚˥],哈麥,,,,
161,hap8-mat8-to5-ngi2,hap5-mat5-to1-ngi3,ha̍p-ma̍t-tô-ngí,[hap̚˥] [mat̚˥] [to˨˦] [ɲi˧˩],哈末．多珥,,,,
162,hap8-mat8,hap5-mat5,ha̍p-ma̍t,[hap̚˥] [mat̚˥],哈末,,,,
163,hap8-man,hap5-man4,ha̍p-man,[hap̚˥] [man˥˥],哈曼,,,,
164,hap8-mat,hap5-mat6,ha̍p-mat,[hap̚˥] [mat̚˨],哈抹,,,,
165,hap8-mu-tha5,hap5-mu4-tha1,ha̍p-mu-thâ,[hap̚˥] [mu˥˥] [tʰa˨˦],哈慕她,,,,
166,hap8-ma5,hap5-ma1,ha̍p-mâ,[hap̚˥] [ma˨˦],哈瑪,,,,
167,hap8-ma5-ngin3,hap5-ma1-ngin2,ha̍p-mâ-ngìn,[hap̚˥] [ma˨˦] [ɲin˩˩],哈馬人,,,,
168,hap8-ma5-thi,hap5-ma1-thi4,ha̍p-mâ-thi,[hap̚˥] [ma˨˦] [tʰi˥˥],哈馬地,,,,
169,hap8-ma5,hap5-ma1,ha̍p-mâ,[hap̚˥] [ma˨˦],哈馬,,,,
170,hap8-ma5-so2-pa5,hap5-ma1-so3-pa1,ha̍p-mâ-só-pâ,[hap̚˥] [ma˨˦] [so˧˩] [pa˨˦],哈馬．瑣巴##,,,,
171,hap8-mo5-li-kit,hap5-mo1-li4-kit6,ha̍p-mô-li-kit,[hap̚˥] [mo˨˦] [li˥˥] [kit̚˨],哈摩利吉,,,,
172,hap8-mo5-na5,hap5-mo1-na1,ha̍p-mô-nâ,[hap̚˥] [mo˨˦] [na˨˦],哈摩拿,,,,
173,hap8-mo5-ni3,hap5-mo1-ni2,ha̍p-mô-nì,[hap̚˥] [mo˨˦] [ni˩˩],哈摩尼,,,,
174,hap8-mu5-let8,hap5-mu1-let5,ha̍p-mû-le̍t,[hap̚˥] [mu˨˦] [let̚˥],哈母勒,,,,
175,hap8-mu5-li,hap5-mu1-li4,ha̍p-mû-li,[hap̚˥] [mu˨˦] [li˥˥],哈母利,,,,
176,hap8-mun3,hap5-mun2,ha̍p-mùn,[hap̚˥] [mun˩˩],哈們,,,,
177,hap8-ngi2-hap8-sii5,hap5-ngi3-hap5-sii1,ha̍p-ngí-ha̍p-sṳ̂,[hap̚˥] [ɲi˧˩] [hap̚˥] [sɨ˨˦],哈珥哈斯,,,,
178,hap8-nok,hap5-nok6,ha̍p-nok,[hap̚˥] [nok̚˨],哈諾,,,,
179,hap8-nui-sii5-sang3,hap5-nui4-sii1-sang2,ha̍p-nui-sṳ̂-sàng,[hap̚˥] [nui˥˥] [sɨ˨˦] [saŋ˩˩],哈內斯城,,,,
180,hap8-nun-vong3,hap5-nun4-vong2,ha̍p-nun-vòng,[hap̚˥] [nun˥˥] [ʋoŋ˩˩],哈嫩王,,,,
181,hap8-nun,hap5-nun4,ha̍p-nun,[hap̚˥] [nun˥˥],哈嫩,,,,
182,hap8-na5-met8,hap5-na1-met5,ha̍p-nâ-me̍t,[hap̚˥] [na˨˦] [met̚˥],哈拿默,,,,
183,hap8-na5-ni3-nga5,hap5-na1-ni2-nga1,ha̍p-nâ-nì-ngâ,[hap̚˥] [na˨˦] [ni˩˩] [ŋa˨˦],哈拿尼雅,,,,
184,hap8-na5-ni3-a5,hap5-na1-ni2-a1,ha̍p-nâ-nì-â,[hap̚˥] [na˨˦] [ni˩˩] [a˨˦],哈拿尼亞,,,,
185,hap8-na5-ni3,hap5-na1-ni2,ha̍p-nâ-nì,[hap̚˥] [na˨˦] [ni˩˩],哈拿尼,,,,
186,hap8-na5-tun,hap5-na1-tun4,ha̍p-nâ-tun,[hap̚˥] [na˨˦] [tun˥˥],哈拿頓,,,,
187,hap8-na5,hap5-na1,ha̍p-nâ,[hap̚˥] [na˨˦],哈娜,,,,
188,hap8-nam3-ngiap8-thap,hap5-nam2-ngiap5-thap6,ha̍p-nàm-ngia̍p-thap,[hap̚˥] [nam˩˩] [ɲiap̚˥] [tʰap̚˨],哈楠業塔,,,,
189,hap8-nam3-ngiap8-leu3,hap5-nam2-ngiap5-leu2,ha̍p-nàm-ngia̍p-lèu,[hap̚˥] [nam˩˩] [ɲiap̚˥] [leu˩˩],哈楠業樓,,,,
190,hap8-nam3-ni3-a5,hap5-nam2-ni2-a1,ha̍p-nàm-nì-â,[hap̚˥] [nam˩˩] [ni˩˩] [a˨˦],哈楠尼亞,,,,
191,hap8-nan3,hap5-nan2,ha̍p-nàn,[hap̚˥] [nan˩˩],哈難,,,,
192,hap8-ni3-fut,hap5-ni2-fut6,ha̍p-nì-fut,[hap̚˥] [ni˩˩] [fut̚˨],哈尼弗,,,,
193,hap8-phat8-thai-na5,hap5-phat5-thai4-na1,ha̍p-pha̍t-thai-nâ,[hap̚˥] [pʰat̚˥] [tʰai˥˥] [na˨˦],哈拔大拿,,,,
194,hap8-phit-sit,hap5-phit6-sit6,ha̍p-phit-sit,[hap̚˥] [pʰit̚˨] [ɕit̚˨],哈闢悉,,,,
195,hap8-pok-ho3,hap5-pok6-ho2,ha̍p-pok-hò,[hap̚˥] [pok̚˨] [ho˩˩],哈博河,,,,
196,hap8-pok,hap5-pok6,ha̍p-pok,[hap̚˥] [pok̚˨],哈博,,,,
197,hap8-pa5-kuk,hap5-pa1-kuk6,ha̍p-pâ-kuk,[hap̚˥] [pa˨˦] [kuk̚˨],哈巴谷,,,,
198,hap8-pa5-nga5,hap5-pa1-nga1,ha̍p-pâ-ngâ,[hap̚˥] [pa˨˦] [ŋa˨˦],哈巴雅,,,,
199,hap8-pa5-se2-ni3-nga5,hap5-pa1-se3-ni2-nga1,ha̍p-pâ-sé-nì-ngâ,[hap̚˥] [pa˨˦] [se˧˩] [ni˩˩] [ŋa˨˦],哈巴洗尼雅,,,,
200,hap8-po5-na5,hap5-po1-na1,ha̍p-pô-nâ,[hap̚˥] [po˨˦] [na˨˦],哈波拿,,,,
201,hap8-se2-liuk8,hap5-se3-liuk5,ha̍p-sé-liu̍k,[hap̚˥] [se˧˩] [liuk̚˥],哈洗錄,,,,
202,hap8-se2-sun5-tha5-ma5,hap5-se3-sun1-tha1-ma1,ha̍p-sé-sûn-thâ-mâ,[hap̚˥] [se˧˩] [sun˨˦] [tʰa˨˦] [ma˨˦],哈洗遜．他瑪,,,,
203,hap8-so2-fi5-liet8,hap5-so3-fi1-liet5,ha̍p-só-fî-lie̍t,[hap̚˥] [so˧˩] [fi˨˦] [liet̚˥],哈瑣斐列,,,,
204,hap8-so2,hap5-so3,ha̍p-só,[hap̚˥] [so˧˩],哈瑣,,,,
205,hap8-sat-hap8-thi3-kon5,hap5-sat6-hap5-thi2-kon1,ha̍p-sat-ha̍p-thì-kôn,[hap̚˥] [sat̚˨] [hap̚˥] [tʰi˩˩] [kon˨˦],哈撒哈提干,,,,
206,hap8-sat-ka5-thai,hap5-sat6-ka1-thai4,ha̍p-sat-kâ-thai,[hap̚˥] [sat̚˨] [ka˨˦] [tʰai˥˥],哈薩．迦大,,,,
207,hap8-sat-ma5-fi5-ngin3,hap5-sat6-ma1-fi1-ngin2,ha̍p-sat-mâ-fî-ngìn,[hap̚˥] [sat̚˨] [ma˨˦] [fi˨˦] [ɲin˩˩],哈薩瑪非人,,,,
208,hap8-sat-ma5-fi5,hap5-sat6-ma1-fi1,ha̍p-sat-mâ-fî,[hap̚˥] [sat̚˨] [ma˨˦] [fi˨˦],哈撒瑪非,,,,
209,hap8-sat-su5-sat,hap5-sat6-su1-sat6,ha̍p-sat-sû-sat,[hap̚˥] [sat̚˨] [su˨˦] [sat̚˨],哈薩．蘇撒,,,,
210,hap8-sat-su5-a5,hap5-sat6-su1-a1,ha̍p-sat-sû-â,[hap̚˥] [sat̚˨] [su˨˦] [a˨˦],哈薩．書亞,,,,
211,hap8-sat-ti2,hap5-sat6-ti3,ha̍p-sat-tí,[hap̚˥] [sat̚˨] [ti˧˩],哈撒底,,,,
212,hap8-sat-yi5-nan3,hap5-sat6-yi1-nan2,ha̍p-sat-yî-nàn,[hap̚˥] [sat̚˨] [yi˨˦] [nan˩˩],哈薩．以難,,,,
213,hap8-sat-a5-that8,hap5-sat6-a1-that5,ha̍p-sat-â-tha̍t,[hap̚˥] [sat̚˨] [a˨˦] [tʰat̚˥],哈薩．亞達,,,,
214,hap8-sat,hap5-sat6,ha̍p-sat,[hap̚˥] [sat̚˨],哈薩,,,,
215,hap8-set-a5,hap5-set6-a1,ha̍p-set-â,[hap̚˥] [set̚˨] [a˨˦],哈塞亞,,,,
216,hap8-siet,hap5-siet6,ha̍p-siet,[hap̚˥] [ɕiet̚˨],哈薛,,,,
217,hap8-sit-let8-po5-ni3,hap5-sit6-let5-po1-ni2,ha̍p-sit-le̍t-pô-nì,[hap̚˥] [ɕit̚˨] [let̚˥] [po˨˦] [ni˩˩],哈悉勒玻尼,,,,
218,hap8-sun,hap5-sun4,ha̍p-sun,[hap̚˥] [sun˥˥],哈順,,,,
219,hap8-sut,hap5-sut6,ha̍p-sut,[hap̚˥] [sut̚˨],哈述,,,,
220,hap8-sa5-na5,hap5-sa1-na1,ha̍p-sâ-nâ,[hap̚˥] [sa˨˦] [na˨˦],哈沙拿,,,,
221,hap8-sa5-ni3,hap5-sa1-ni2,ha̍p-sâ-nì,[hap̚˥] [sa˨˦] [ni˩˩],哈沙尼,,,,
222,hap8-sa5-pi2-nga5,hap5-sa1-pi3-nga1,ha̍p-sâ-pí-ngâ,[hap̚˥] [sa˨˦] [pi˧˩] [ŋa˨˦],哈沙比雅,,,,
223,hap8-sa5,hap5-sa1,ha̍p-sâ,[hap̚˥] [sa˨˦],哈沙,,,,
224,hap8-si5-nu2-a5,hap5-si1-nu3-a1,ha̍p-sî-nú-â,[hap̚˥] [ɕi˨˦] [nu˧˩] [a˨˦],哈西努亞,,,,
225,hap8-si5-nu2,hap5-si1-nu3,ha̍p-sî-nú,[hap̚˥] [ɕi˨˦] [nu˧˩],哈西努,,,,
226,hap8-si5-na5,hap5-si1-na1,ha̍p-sî-nâ,[hap̚˥] [ɕi˨˦] [na˨˦],哈西拿,,,,
227,hap8-su5-pa5,hap5-su1-pa1,ha̍p-sû-pâ,[hap̚˥] [su˨˦] [pa˨˦],哈蘇巴,,,,
228,hap8-su5-pa5,hap5-su1-pa1,ha̍p-sû-pâ,[hap̚˥] [su˨˦] [pa˨˦],哈舒巴,,,,
229,hap8-ti2-thai,hap5-ti3-thai4,ha̍p-tí-thai,[hap̚˥] [ti˧˩] [tʰai˥˥],哈底大,,,,
230,hap8-tet-la5,hap5-tet6-la1,ha̍p-tet-lâ,[hap̚˥] [tet̚˨] [la˨˦],哈得拉,,,,
231,hap8-tet-loi3,hap5-tet6-loi2,ha̍p-tet-lòi,[hap̚˥] [tet̚˨] [loi˩˩],哈得萊,,,,
232,hap8-that8-lim3-mun3,hap5-that5-lim2-mun2,ha̍p-tha̍t-lìm-mùn,[hap̚˥] [tʰat̚˥] [lim˩˩] [mun˩˩],哈達．臨門,,,,
233,hap8-that8,hap5-that5,ha̍p-tha̍t,[hap̚˥] [tʰat̚˥],哈達,,,,
234,hap8-thut8,hap5-thut5,ha̍p-thu̍t,[hap̚˥] [tʰut̚˥],哈突,,,,
235,hap8-thai-sa5,hap5-thai4-sa1,ha̍p-thai-sâ,[hap̚˥] [tʰai˥˥] [sa˨˦],哈大沙,,,,
236,hap8-thai-ti2-chhia-vong3,hap5-thai4-ti3-chhia4-vong2,ha̍p-thai-tí-chhia-vòng,[hap̚˥] [tʰai˥˥] [ti˧˩] [tɕʰia˥˥] [ʋoŋ˩˩],哈大底謝王,,,,
237,hap8-thai-ti2-chhia,hap5-thai4-ti3-chhia4,ha̍p-thai-tí-chhia,[hap̚˥] [tʰai˥˥] [ti˧˩] [tɕʰia˥˥],哈大底謝,,,,
238,hap8-thai,hap5-thai4,ha̍p-thai,[hap̚˥] [tʰai˥˥],哈大,,,,
239,hap8-thap,hap5-thap6,ha̍p-thap,[hap̚˥] [tʰap̚˨],哈塔,,,,
240,hap8-thiap8,hap5-thiap5,ha̍p-thia̍p,[hap̚˥] [tʰiap̚˥],哈疊,,,,
241,hap8-thi,hap5-thi4,ha̍p-thi,[hap̚˥] [tʰi˥˥],哈替,,,,
242,hap8-thi-ngin3,hap5-thi4-ngin2,ha̍p-thi-ngìn,[hap̚˥] [tʰi˥˥] [ɲin˩˩],哈第人,,,,
243,hap8-thi,hap5-thi4,ha̍p-thi,[hap̚˥] [tʰi˥˥],哈第,,,,
244,hap8-tha5-kiet,hap5-tha1-kiet6,ha̍p-thâ-kiet,[hap̚˥] [tʰa˨˦] [kiet̚˨],哈他革,,,,
245,hap8-thi3-fap,hap5-thi2-fap6,ha̍p-thì-fap,[hap̚˥] [tʰi˩˩] [fap̚˨],哈提法,,,,
246,hap8-to5-lan3-ngin3,hap5-to1-lan2-ngin2,ha̍p-tô-làn-ngìn,[hap̚˥] [to˨˦] [lan˩˩] [ɲin˩˩],哈多蘭人,,,,
247,hap8-to5-lan3,hap5-to1-lan2,ha̍p-tô-làn,[hap̚˥] [to˨˦] [lan˩˩],哈多蘭,,,,
248,hap8-vi5-thit8-ngai3-ngi2,hap5-vi1-thit5-ngai2-ngi3,ha̍p-vî-thi̍t-ngài-ngí,[hap̚˥] [ʋi˨˦] [tʰit̚˥] [ŋai˩˩] [ɲi˧˩],哈倭特．睚珥,,,,
249,ha-kap-ngin3,ha4-kap6-ngin2,ha-kap-ngìn,[ha˥˥] [kap̚˨] [ɲin˩˩],夏甲人,,,,
250,ha-kap,ha4-kap6,ha-kap,[ha˥˥] [kap̚˨],夏甲,,,,
251,ha-lo3-sat,ha4-lo2-sat6,ha-lò-sat,[ha˥˥] [lo˩˩] [sat̚˨],夏羅設,,,,
252,ha-so2-hap8-thai-tha5,ha4-so3-hap5-thai4-tha1,ha-só-ha̍p-thai-thâ,[ha˥˥] [so˧˩] [hap̚˥] [tʰai˥˥] [tʰa˨˦],夏瑣．哈大他,,,,
253,ha-so2-ngin3,ha4-so3-ngin2,ha-só-ngìn,[ha˥˥] [so˧˩] [ɲin˩˩],夏瑣人,,,,
254,ha-so2-sang3,ha4-so3-sang2,ha-só-sàng,[ha˥˥] [so˧˩] [saŋ˩˩],夏瑣城,,,,
255,ha-so2-vong3,ha4-so3-vong2,ha-só-vòng,[ha˥˥] [so˧˩] [ʋoŋ˩˩],夏瑣王,,,,
256,ha-so2,ha4-so3,ha-só,[ha˥˥] [so˧˩],夏瑣,,,,
257,ha-va5,ha4-va1,ha-vâ,[ha˥˥] [ʋa˨˦],夏娃,,,,
258,het-kap,het6-kap6,het-kap,[het̚˨] [kap̚˨],黑甲,,,,
259,het-let8-sii5,het6-let5-sii1,het-le̍t-sṳ̂,[het̚˨] [let̚˥] [sɨ˨˦],黑勒施,,,,
260,het-mi2,het6-mi3,het-mí,[het̚˨] [mi˧˩],黑米,,,,
261,het-ma5,het6-ma1,het-mâ,[het̚˨] [ma˨˦],黑馬,,,,
262,het-mo5-khi3-ni3,het6-mo1-khi2-ni2,het-mô-khì-nì,[het̚˨] [mo˨˦] [kʰi˩˩] [ni˩˩],黑摩其尼,,,,
263,het-mun3-liang5,het6-mun2-liang1,het-mùn-liâng,[het̚˨] [mun˩˩] [liaŋ˨˦],黑門嶺,,,,
264,het-mun3-san5,het6-mun2-san1,het-mùn-sân,[het̚˨] [mun˩˩] [san˨˦],黑門山,,,,
265,het-mun3,het6-mun2,het-mùn,[het̚˨] [mun˩˩],黑門,,,,
266,het-pun2,het6-pun3,het-pún,[het̚˨] [pun˧˩],黑本,,,,
267,het-pa5-lit8,het6-pa1-lit5,het-pâ-li̍t,[het̚˨] [pa˨˦] [lit̚˥],謁巴力,,,,
268,het-pa5,het6-pa1,het-pâ,[het̚˨] [pa˨˦],黑巴,,,,
269,het-siit8-mun3,het6-siit5-mun2,het-sṳ̍t-mùn,[het̚˨] [sɨt̚˥] [mun˩˩],黑實門,,,,
270,het-thoi,het6-thoi4,het-thoi,[het̚˨] [tʰoi˥˥],黑玳,,,,
271,het-ngin3,het6-ngin2,het-ngìn,[het̚˨] [ɲin˩˩],赫人,,,,
272,het,het6,het,[het̚˨],赫,,,,
273,hiong2-nap8,hiong3-nap5,hióng-na̍p,[hioŋ˧˩] [nap̚˥],享納,,,,
274,hiap8-si5-pa5,hiap5-si1-pa1,hia̍p-sî-pâ,[hiap̚˥] [ɕi˨˦] [pa˨˦],協西巴,,,,
275,hiun-sang3,hiun4-sang2,hiun-sàng,[hiun˥˥] [saŋ˩˩],訓城,,,,
276,hiun5-nun-e2-kuk,hiun1-nun4-e3-kuk6,hiûn-nun-é-kuk,[hiun˨˦] [nun˥˥] [e˧˩] [kuk̚˨],欣嫩仔谷,,,,
277,hiun5-nun-e2,hiun1-nun4-e3,hiûn-nun-é,[hiun˨˦] [nun˥˥] [e˧˩],欣嫩仔,,,,
278,hiun5-nun-chii2-kuk,hiun1-nun4-chii3-kuk6,hiûn-nun-chṳ́-kuk,[hiun˨˦] [nun˥˥] [tsɨ˧˩] [kuk̚˨],欣嫩子谷,,,,
279,hiun5-nun-chii2,hiun1-nun4-chii3,hiûn-nun-chṳ́,[hiun˨˦] [nun˥˥] [tsɨ˧˩],欣嫩子,,,,
280,hiun5-nun-kuk,hiun1-nun4-kuk6,hiûn-nun-kuk,[hiun˨˦] [nun˥˥] [kuk̚˨],欣嫩谷,,,,
281,hiun5-nun,hiun1-nun4,hiûn-nun,[hiun˨˦] [nun˥˥],欣嫩,,,,
282,hiun5-than,hiun1-than4,hiûn-than,[hiun˨˦] [tʰan˥˥],欣但,,,,
283,ho-lan3,ho4-lan2,ho-làn,[ho˥˥] [lan˩˩],浩蘭,,,,
284,hon-ngiap,hon4-ngiap6,hon-ngiap,[hon˥˥] [ɲiap̚˨],漢聶,,,,
285,hon-ni3-ngiap8,hon4-ni2-ngiap5,hon-nì-ngia̍p,[hon˥˥] [ni˩˩] [ɲiap̚˥],漢尼業,,,,
286,hot-hap8-khip8-kap,hot6-hap5-khip5-kap6,hot-ha̍p-khi̍p-kap,[hot̚˨] [hap̚˥] [kʰip̚˥] [kap̚˨],曷．哈及甲,,,,
287,hot-la5,hot6-la1,hot-lâ,[hot̚˨] [la˨˦],曷拉,,,,
288,ha5-siet-vong3,ha1-siet6-vong2,hâ-siet-vòng,[ha˨˦] [ɕiet̚˨] [ʋoŋ˩˩],哈薛王,,,,
289,hi5-fut,hi1-fut6,hî-fut,[hi˨˦] [fut̚˨],希弗,,,,
290,hi5-hot-lip8-nap8,hi1-hot6-lip5-nap5,hî-hot-li̍p-na̍p,[hi˨˦] [hot̚˨] [lip̚˥] [nap̚˥],希曷．立納,,,,
291,hi5-kai5,hi1-kai1,hî-kâi,[hi˨˦] [kai˨˦],希該,,,,
292,hi5-let8-khai2,hi1-let5-khai3,hî-le̍t-khái,[hi˨˦] [let̚˥] [kʰai˧˩],希勒愷,,,,
293,hi5-let8-ka5,hi1-let5-ka1,hî-le̍t-kâ,[hi˨˦] [let̚˥] [ka˨˦],希勒家,,,,
294,hi5-let8,hi1-let5,hî-le̍t,[hi˨˦] [let̚˥],希勒,,,,
295,hi5-lip8,hi1-lip5,hî-li̍p,[hi˨˦] [lip̚˥],希立,,,,
296,hi5-lit8-tong2,hi1-lit5-tong3,hî-li̍t-tóng,[hi˨˦] [lit̚˥] [toŋ˧˩],希律黨,,,,
297,hi5-lit8-vong3,hi1-lit5-vong2,hî-li̍t-vòng,[hi˨˦] [lit̚˥] [ʋoŋ˩˩],希律王,,,,
298,hi5-lit8,hi1-lit5,hî-li̍t,[hi˨˦] [lit̚˥],希律,,,,
299,hi5-liap8-koet,hi1-liap5-koet6,hî-lia̍p-koet,[hi˨˦] [liap̚˥] [koet̚˨],希臘國,,,,
300,hi5-liap8-ngin3,hi1-liap5-ngin2,hî-lia̍p-ngìn,[hi˨˦] [liap̚˥] [ɲin˩˩],希臘人,,,,
301,hi5-liap8-vun3,hi1-liap5-vun2,hî-lia̍p-vùn,[hi˨˦] [liap̚˥] [ʋun˩˩],希臘文,,,,
302,hi5-liap8,hi1-liap5,hî-lia̍p,[hi˨˦] [liap̚˥],希臘,,,,
303,hi5-liet8-sii5,hi1-liet5-sii1,hî-lie̍t-sṳ̂,[hi˨˦] [liet̚˥] [sɨ˨˦],希列斯,,,,
304,hi5-liet8-san5,hi1-liet5-san1,hî-lie̍t-sân,[hi˨˦] [liet̚˥] [san˨˦],希烈山,,,,
305,hi5-liet8,hi1-liet5,hî-lie̍t,[hi˨˦] [liet̚˥],希列,,,,
306,hi5-li-fut,hi1-li4-fut6,hî-li-fut,[hi˨˦] [li˥˥] [fut̚˨],希利弗,,,,
307,hi5-li-po5-li2-sang3,hi1-li4-po1-li3-sang2,hî-li-pô-lí-sàng,[hi˨˦] [li˥˥] [po˨˦] [li˧˩] [saŋ˩˩],希利坡里城,,,,
308,hi5-li-po5,hi1-li4-po1,hî-li-pô,[hi˨˦] [li˥˥] [po˨˦],希利波,,,,
309,hi5-li-sii5,hi1-li4-sii1,hî-li-sṳ̂,[hi˨˦] [li˥˥] [sɨ˨˦],希利斯,,,,
310,hi5-lien3,hi1-lien2,hî-lièn,[hi˨˦] [lien˩˩],希連,,,,
311,hi5-la5-po5-lip8,hi1-la1-po1-lip5,hî-lâ-pô-li̍p,[hi˨˦] [la˨˦] [po˨˦] [lip̚˥],希拉波立,,,,
312,hi5-la5,hi1-la1,hî-lâ,[hi˨˦] [la˨˦],希拉,,,,
313,hi5-li5,hi1-li1,hî-lî,[hi˨˦] [li˨˦],希里,,,,
314,hi5-lan3-vong3,hi1-lan2-vong2,hî-làn-vòng,[hi˨˦] [lan˩˩] [ʋoŋ˩˩],希蘭王,,,,
315,hi5-lan3,hi1-lan2,hî-làn,[hi˨˦] [lan˩˩],希蘭,,,,
316,hi5-lo3-ti2,hi1-lo2-ti3,hî-lò-tí,[hi˨˦] [lo˩˩] [ti˧˩],希羅底,,,,
317,hi5-lo3-thien5,hi1-lo2-thien1,hî-lò-thiên,[hi˨˦] [lo˩˩] [tʰien˨˦],希羅天,,,,
318,hi5-lun3,hi1-lun2,hî-lùn,[hi˨˦] [lun˩˩],希崙,,,,
319,hi5-lun3,hi1-lun2,hî-lùn,[hi˨˦] [lun˩˩],希倫,,,,
320,hi5-man,hi1-man4,hî-man,[hi˨˦] [man˥˥],希幔,,,,
321,hi5-ngi2-mi2,hi1-ngi3-mi3,hî-ngí-mí,[hi˨˦] [ɲi˧˩] [mi˧˩],希耳米,,,,
322,hi5-na5-that8,hi1-na1-that5,hî-nâ-tha̍t,[hi˨˦] [na˨˦] [tʰat̚˥],希拿達,,,,
323,hi5-na5,hi1-na1,hî-nâ,[hi˨˦] [na˨˦],希拿,,,,
324,hi5-ni3,hi1-ni2,hî-nì,[hi˨˦] [ni˩˩],希尼,,,,
325,hi5-pak-loi3-vun3,hi1-pak6-loi2-vun2,hî-pak-lòi-vùn,[hi˨˦] [pak̚˨] [loi˩˩] [ʋun˩˩],希伯來文,,,,
