ID,FHL_DICT_Numeric,PFS_Numeric,PFS_Unicode,Hakfa_IPA,Hanzi,Tai-gi,Hakfa-exp,Hua-gi,Eng-gi
19340,tham5-vu5,tham1-vu1,thâm-vû,[tʰam˨˦] [ʋu˨˦],貪污,,,,
19341,tham5-yuk8,tham1-yuk5,thâm-yu̍k,[tʰam˨˦] [yuk̚˥],貪慾,,,,
19342,tham5,tham1,thâm,[tʰam˨˦],貪,,,,
19343,tham5-chiu2,tham1-chiu3,thâm-chiú,[tʰam˨˦] [tɕiu˧˩],貪酒,,,,
19344,than5-fung5,than1-fung1,thân-fûng,[tʰan˨˦] [fuŋ˨˦],癱風,,,,
19345,than5-ten2,than1-ten3,thân-tén,[tʰan˨˦] [ten˧˩],攤著,,,,
19346,than5-thet,than1-thet6,thân-thet,[tʰan˨˦] [tʰet̚˨],癱掉,,,,
19347,thang5-chhiung3,thang1-chhiung2,thâng-chhiùng,[tʰaŋ˨˦] [tɕʰiuŋ˩˩],聽從,,,,
19348,thang5-fa,thang1-fa4,thâng-fa,[tʰaŋ˨˦] [fa˥˥],聽話,,,,
19349,thang5-ho2,thang1-ho3,thâng-hó,[tʰaŋ˨˦] [ho˧˩],聽好,,,,
19350,thang5-ha5,thang1-ha1,thâng-hâ,[tʰaŋ˨˦] [ha˨˦],廳下,,,,
19351,thang5-kong2,thang1-kong3,thâng-kóng,[tʰaŋ˨˦] [koŋ˧˩],聽講,,,,
19352,thang5-khon,thang1-khon4,thâng-khon,[tʰaŋ˨˦] [kʰon˥˥],聽看,,,,
19353,thang5-kien,thang1-kien4,thâng-kien,[tʰaŋ˨˦] [kien˥˥],聽見,,,,
19354,thang5-ko,thang1-ko4,thâng-ko,[tʰaŋ˨˦] [ko˥˥],聽過,,,,
19355,thang5-liau2,thang1-liau3,thâng-liáu,[tʰaŋ˨˦] [liau˧˩],聽了,,,,
19356,thang5-lan5,thang1-lan1,thâng-lân,[tʰaŋ˨˦] [lan˨˦],聽懶,,,,
19357,thang5-loi3,thang1-loi2,thâng-lòi,[tʰaŋ˨˦] [loi˩˩],聽來,,,,
